web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration,imdb_rating,num_vote,release_date,gross_us_can,gross_opening_weekend,gross_worldwide,Date
1647965740-539,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",28 Weeks Later,28 Weeks Later,https://www.imdb.com/title/tt0463854/?ref_=adv_li_tt,2007,R,1h 40m,6.9,271K,"May 17, 2007 (Thailand)","$28,638,916 ","$9,807,292 ","$65,048,678 ","May 17, 2007"
1647971167-1697,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Inglourious Basterds,Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt,2009,R,2h 33m,8.3,1.4M,"August 20, 2009 (Germany)","$120,540,719 ","$38,054,676 ","$321,457,747 ","August 20, 2009"
1647972767-2030,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Mr. Holmes,Mr. Holmes,https://www.imdb.com/title/tt3168230/?ref_=adv_li_tt,2015,PG,1h 44m,6.8,64K,"June 19, 2015 (United Kingdom)","$17,737,646 ","$2,434,908 ","$29,355,203 ","June 19, 2015"
1647966847-776,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Chronicles of Riddick,The Chronicles of Riddick,https://www.imdb.com/title/tt0296572/?ref_=adv_li_tt,2004,R,1h 59m,6.6,224K,"July 22, 2004 (Thailand)","$57,761,012 ","$24,289,165 ","$115,900,534 ","July 22, 2004"
1647972634-2001,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Felon,Felon,https://www.imdb.com/title/tt1117385/?ref_=adv_li_tt,2008,R,1h 44m,7.4,78K,"July 18, 2008 (Canada)",null,null,null,"July 18, 2008"
1647973798-2253,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Blue Streak,Blue Streak,https://www.imdb.com/title/tt0181316/?ref_=adv_li_tt,1999,PG-13,1h 33m,6.3,82K,"September 17, 1999 (United States)","$68,518,533 ","$19,208,806 ","$117,758,500 ","September 17, 1999"
1647966678-741,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Lawrence of Arabia,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt,1962,Approved,3h 38m,8.3,286K,"December 11, 1962 (United Kingdom)","$45,306,425 ","$20,846 ","$45,715,757 ","December 11, 1962"
1647966769-760,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Chef,Chef,https://www.imdb.com/title/tt2883512/?ref_=adv_li_tt,2014,R,1h 54m,7.3,211K,"May 30, 2014 (United States)","$31,424,003 ","$204,961 ","$48,428,048 ","May 30, 2014"
1647973282-2140,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Elizabeth: The Golden Age,Elizabeth: The Golden Age,https://www.imdb.com/title/tt0414055/?ref_=adv_li_tt,2007,PG-13,1h 54m,6.8,71K,"January 3, 2008 (Thailand)","$16,383,509 ","$6,153,075 ","$75,782,758 ","January 3, 2008"
1647979230-3441,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Gosford Park,Gosford Park,https://www.imdb.com/title/tt0280707/?ref_=adv_li_tt,2001,R,2h 17m,7.2,86K,"January 18, 2002 (United States)","$41,308,615 ","$241,219 ","$87,754,044 ","January 18, 2002"
1647964278-251,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Resident Evil: Retribution,Resident Evil: Retribution,https://www.imdb.com/title/tt1855325/?ref_=adv_li_tt,2012,R,1h 35m,5.3,140K,"September 13, 2012 (Thailand)","$42,345,531 ","$21,052,227 ","$240,159,255 ","September 13, 2012"
1647974607-2430,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Nikita,Nikita,https://www.imdb.com/title/tt0100263/?ref_=adv_li_tt,1990,R,1h 57m,7.3,71K,"February 21, 1990 (France)","$5,017,971 ","$44,047 ","$5,017,971 ","February 21, 1990"
1647966013-598,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Change-Up,The Change-Up,https://www.imdb.com/title/tt1488555/?ref_=adv_li_tt,2011,R,1h 52m,6.3,179K,"August 5, 2011 (United States)","$37,081,475 ","$13,531,115 ","$75,450,437 ","August 5, 2011"
1647967621-942,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Founder,The Founder,https://www.imdb.com/title/tt4276820/?ref_=adv_li_tt,2016,PG-13,1h 55m,7.2,144K,"January 26, 2017 (Thailand)","$12,786,053 ","$3,404,102 ","$24,121,245 ","January 26, 2017"
1647976771-2902,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Rudy,Rudy,https://www.imdb.com/title/tt0108002/?ref_=adv_li_tt,1993,G,1h 54m,7.5,62K,"October 22, 1993 (United States)","$22,881,563 ","$881,191 ","$22,881,563 ","October 22, 1993"
1647973803-2254,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Sword in the Stone,The Sword in the Stone,https://www.imdb.com/title/tt0057546/?ref_=adv_li_tt,1963,G,1h 19m,7.2,96K,"June 21, 1964 (United States)","$12,000,000 ","$2,230,614 ","$12,000,000 ","June 21, 1964"
1647965795-551,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,https://www.imdb.com/title/tt0396171/?ref_=adv_li_tt,2006,R,2h 27m,7.5,245K,"January 4, 2007 (Thailand)","$2,223,293 ","$37,079 ","$135,039,924 ","January 4, 2007"
1647968482-1127,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Wonder,Wonder,https://www.imdb.com/title/tt2543472/?ref_=adv_li_tt,2017,PG,1h 53m,7.9,159K,"November 17, 2017 (Canada)","$132,422,809 ","$27,547,866 ","$306,209,289 ","November 17, 2017"
1647968863-1209,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/?ref_=adv_li_tt,1982,G,1h 55m,7.9,396K,"April 1, 1983 (Thailand)","$435,110,554 ","$11,835,389 ","$792,910,554 ","April 1, 1983"
1647969029-1244,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",WALL·E,WALL·E,https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt,2008,G,1h 38m,8.4,1.1M,"August 12, 2008 (Thailand)","$223,808,164 ","$63,087,526 ","$521,311,890 ","August 12, 2008"
1647963973-184,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Cable Guy,The Cable Guy,https://www.imdb.com/title/tt0115798/?ref_=adv_li_tt,1996,PG-13,1h 36m,6.1,162K,"June 14, 1996 (United States)","$60,240,295 ","$19,806,226 ","$102,825,796 ","June 14, 1996"
1647973071-2095,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Shadow of a Doubt,Shadow of a Doubt,https://www.imdb.com/title/tt0036342/?ref_=adv_li_tt,1943,PG,1h 48m,7.8,64K,"January 15, 1943 (United States)",null,null,$714 ,"January 15, 1943"
1647968939-1225,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",8 Mile,8 Mile,https://www.imdb.com/title/tt0298203/?ref_=adv_li_tt,2002,R,1h 50m,7.2,277K,"November 8, 2002 (United States)","$116,750,901 ","$51,240,555 ","$242,875,078 ","November 8, 2002"
1647977246-3007,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Entrapment,Entrapment,https://www.imdb.com/title/tt0137494/?ref_=adv_li_tt,1999,PG-13,1h 53m,6.3,114K,"May 5, 1999 (Thailand)","$87,704,396 ","$20,145,595 ","$212,404,396 ","May 5, 1999"
1647975073-2531,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,https://www.imdb.com/title/tt0169858/?ref_=adv_li_tt,1997,TV-MA,1h 27m,8.1,51K,2005 (Germany),null,null,"$42,214 ",2005
1647968883-1213,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Cloud Atlas,Cloud Atlas,https://www.imdb.com/title/tt1371111/?ref_=adv_li_tt,2012,R,2h 52m,7.4,358K,"November 29, 2012 (Thailand)","$27,108,272 ","$9,612,247 ","$130,516,424 ","November 29, 2012"
1647974855-2483,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Leviathan,Leviathan,https://www.imdb.com/title/tt2802154/?ref_=adv_li_tt,2014,R,2h 20m,7.6,53K,"February 5, 2015 (Russia)","$1,092,800 ","$15,200 ","$4,439,481 ","February 5, 2015"
1647965868-567,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Fracture,Fracture,https://www.imdb.com/title/tt0488120/?ref_=adv_li_tt,2007,R,1h 53m,7.2,201K,"June 21, 2007 (Thailand)","$39,015,018 ","$11,180,000 ","$92,011,561 ","June 21, 2007"
1647963707-127,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Devil,Devil,https://www.imdb.com/title/tt1314655/?ref_=adv_li_tt,2010,PG-13,1h 20m,6.3,143K,"September 30, 2010 (Thailand)","$33,601,190 ","$12,289,375 ","$62,695,489 ","September 30, 2010"
