year,awards_name,winner,winner_details
1929,Best Actor,Emil Jannings,"The Last Command, The Way of All Flesh"
1929,Best Actress,Janet Gaynor,"7th Heaven, Street Angel, Sunrise"
1929,"Best Director, Comedy Picture",Lewis Milestone,Two Arabian Knights
1929,"Best Director, Dramatic Picture",Frank Borzage,7th Heaven
1930,Best Actor,George Arliss,Disraeli
1930,Best Actor,Warner Baxter,In Old Arizona
1930,Best Actress,Mary Pickford,Coquette
1930,Best Actress,Norma Shearer,The Divorcee
1930,Best Director,Frank Lloyd,The Divine Lady
1930,Best Director,Lewis Milestone,All Quiet on the Western Front
1931,Best Actor,Lionel Barrymore,A Free Soul
1931,Best Actress,Marie Dressler,Min and Bill
1931,Best Director,Norman Taurog,Skippy
1932,Best Actor,Fredric March,Dr. Jekyll and Mr. Hyde
1932,Best Actress,Helen Hayes,The Sin of Madelon Claudet
1932,Best Director,Frank Borzage,Bad Girl
1934,Best Actor,Charles Laughton,The Private Life of Henry VIII
1934,Best Actress,Katharine Hepburn,Morning Glory
1934,Best Director,Frank Lloyd,Cavalcade
1935,Best Actor,Clark Gable,It Happened One Night
1935,Best Actress,Claudette Colbert,It Happened One Night
1935,Best Director,Frank Capra,It Happened One Night
1936,Best Actor,Victor McLaglen,The Informer
1936,Best Actress,Bette Davis,Dangerous
1936,Best Director,John Ford,The Informer
1937,Best Actor,Paul Muni,The Story of Louis Pasteur
1937,Best Actress,Luise Rainer,The Great Ziegfeld
1937,Best Director,Frank Capra,Mr. Deeds Goes to Town
1938,Best Actor,Spencer Tracy,Captains Courageous
1938,Best Actress,Luise Rainer,The Good Earth
1938,Best Director,Leo McCarey,The Awful Truth
1939,Best Actor,Spencer Tracy,Boys Town
1939,Best Actress,Bette Davis,Jezebel
1939,Best Director,Frank Capra,You Can't Take It with You
1940,Best Actor,Robert Donat,"Goodbye, Mr. Chips"
1940,Best Actress,Vivien Leigh,Gone with the Wind
1940,Best Director,Victor Fleming,Gone with the Wind
1941,Best Actor,James Stewart,The Philadelphia Story
1941,Best Actress,Ginger Rogers,Kitty Foyle
1941,Best Director,John Ford,The Grapes of Wrath
1942,Best Actor,Gary Cooper,Sergeant York
1942,Best Actress,Joan Fontaine,Suspicion
1942,Best Director,John Ford,How Green Was My Valley
1943,Best Actor,James Cagney,Yankee Doodle Dandy
1943,Best Actress,Greer Garson,Mrs. Miniver
1943,Best Director,William Wyler,Mrs. Miniver
1944,Best Actor,Paul Lukas,Watch on the Rhine
1944,Best Actress,Jennifer Jones,The Song of Bernadette
1944,Best Director,Michael Curtiz,Casablanca
1945,Best Actor,Bing Crosby,Going My Way
1945,Best Actress,Ingrid Bergman,Gaslight
1945,Best Director,Leo McCarey,Going My Way
1946,Best Actor,Ray Milland,The Lost Weekend
1946,Best Actress,Joan Crawford,Mildred Pierce
1946,Best Director,Billy Wilder,The Lost Weekend
1947,Best Actor,Fredric March,The Best Years of Our Lives
1947,Best Actress,Olivia de Havilland,To Each His Own
1947,Best Director,William Wyler,The Best Years of Our Lives
1948,Best Actor,Ronald Colman,A Double Life
1948,Best Actress,Loretta Young,The Farmer's Daughter
1948,Best Director,Elia Kazan,Gentleman's Agreement
1949,Best Actor,Laurence Olivier,Hamlet
1949,Best Actress,Jane Wyman,Johnny Belinda
1949,Best Director,John Huston,The Treasure of the Sierra Madre
1950,Best Actor,Broderick Crawford,All the King's Men
1950,Best Actress,Olivia de Havilland,The Heiress
1950,Best Director,Joseph L. Mankiewicz,A Letter to Three Wives
1951,Best Actor,José Ferrer,Cyrano de Bergerac
1951,Best Actress,Judy Holliday,Born Yesterday
1951,Best Director,Joseph L. Mankiewicz,All About Eve
1952,Best Actor,Humphrey Bogart,The African Queen
1952,Best Actress,Vivien Leigh,A Streetcar Named Desire
1952,Best Director,George Stevens,A Place in the Sun
1953,Best Actor,Gary Cooper,High Noon
1953,Best Actress,Shirley Booth,"Come Back, Little Sheba"
1953,Best Director,John Ford,The Quiet Man
1954,Best Actor,William Holden,Stalag 17
1954,Best Actress,Audrey Hepburn,Roman Holiday
1954,Best Director,Fred Zinnemann,From Here to Eternity
1955,Best Actor,Marlon Brando,On the Waterfront
1955,Best Actress,Grace Kelly,The Country Girl
