year,awards_name,winner,winner_details
1929,"Best Picture, Production",Wings,
1929,"Best Picture, Unique and Artistic Production",Sunrise,
1930,Best Picture,The Broadway Melody,
1930,Best Picture,All Quiet on the Western Front,
1931,Best Picture,Cimarron,
1932,Best Picture,Grand Hotel,
1934,Best Picture,Cavalcade,
1935,Best Picture,It Happened One Night,
1936,Best Picture,Mutiny on the Bounty,
1937,Best Picture,The Great Ziegfeld,
1938,Best Picture,The Life of Emile Zola,
1939,Best Picture,You Can't Take It with You,
1940,Best Picture,Gone with the Wind,
1941,Best Picture,Rebecca,
1942,Best Picture,How Green Was My Valley,
1943,Best Picture,Mrs. Miniver,
1944,Best Picture,Casablanca,
1945,Best Picture,Going My Way,
1946,Best Picture,The Lost Weekend,
1947,Best Picture,The Best Years of Our Lives,
1948,Best Picture,Gentleman's Agreement,
1949,Best Picture,Hamlet,
1950,Best Picture,All the King's Men,
1951,Best Picture,All About Eve,Darryl F. Zanuck
1952,Best Picture,An American in Paris,Arthur Freed
1953,Best Picture,The Greatest Show on Earth,Cecil B. DeMille
1954,Best Picture,From Here to Eternity,Buddy Adler
1955,Best Picture,On the Waterfront,Sam Spiegel
1956,Best Picture,Marty,Harold Hecht
1957,Best International Film,The Road,"Dino De Laurentiis, Carlo Ponti"
1957,Best Picture,Around the World in 80 Days,Mike Todd
1958,Best International Film,Nights of Cabiria,
1958,Best Picture,The Bridge on the River Kwai,Sam Spiegel
1959,Best International Film,Mon oncle,
1959,Best Picture,Gigi,Arthur Freed
1960,Best International Film,Black Orpheus,
1960,Best Picture,Ben-Hur,Sam Zimbalist
1961,Best International Film,The Virgin Spring,
1961,Best Picture,The Apartment,Billy Wilder
1962,Best International Film,Through a Glass Darkly,
1962,Best Picture,West Side Story,Robert Wise
1963,Best International Film,Sundays and Cybèle,
1963,Best Picture,Lawrence of Arabia,Sam Spiegel
1964,Best International Film,8½,
1964,Best Picture,Tom Jones,Tony Richardson
1965,Best International Film,"Yesterday, Today and Tomorrow",
1965,Best Picture,My Fair Lady,Jack L. Warner
1966,Best International Film,The Shop on Main Street,
1966,Best Picture,The Sound of Music,Robert Wise
1967,Best International Film,A Man and a Woman,
1967,Best Picture,A Man for All Seasons,Fred Zinnemann
1968,Best International Film,Closely Watched Trains,
1968,Best Picture,In the Heat of the Night,Walter Mirisch
1969,Best International Film,War and Peace,
1969,Best Picture,Oliver!,John Woolf
1970,Best International Film,Z,
1970,Best Picture,Midnight Cowboy,Jerome Hellman
1971,Best International Film,Investigation of a Citizen Above Suspicion,
1971,Best Picture,Patton,Frank McCarthy
1972,Best International Film,The Garden of the Finzi-Continis,
1972,Best Picture,The French Connection,Philip D'Antoni
1973,Best International Film,The Discreet Charm of the Bourgeoisie,
1973,Best Picture,The Godfather,Albert S. Ruddy
1974,Best International Film,Day for Night,
1974,Best Picture,The Sting,"Tony Bill, Michael Phillips, Julia Phillips"
1975,Best International Film,Amarcord,
1975,Best Picture,The Godfather: Part II,"Francis Ford Coppola, Gray Frederickson, Fred Roos"
1976,Best International Film,Dersu Uzala,
1976,Best Picture,One Flew Over the Cuckoo's Nest,"Saul Zaentz, Michael Douglas"
1977,Best International Film,Black and White in Color,
1977,Best Picture,Rocky,"Irwin Winkler, Robert Chartoff"
1978,Best International Film,Madame Rosa,
1978,Best Picture,Annie Hall,Charles H. Joffe
1979,Best International Film,Get Out Your Handkerchiefs,
1979,Best Picture,The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino, John Peverall"
1980,Best International Film,The Tin Drum,
1980,Best Picture,Kramer vs. Kramer,Stanley R. Jaffe
1981,Best International Film,Moscow Does Not Believe in Tears,
1981,Best Picture,Ordinary People,Ronald L. Schwary
1982,Best International Film,Mephisto,
1982,Best Picture,Chariots of Fire,David Puttnam
1983,Best International Film,Volver a empezar,
1983,Best Picture,Gandhi,Richard Attenborough
1984,Best International Film,Fanny and Alexander,
1984,Best Picture,Terms of Endearment,James L. Brooks
1985,Best International Film,Dangerous Moves,
1985,Best Picture,Amadeus,Saul Zaentz
1986,Best International Film,The Official Story,
1986,Best Picture,Out of Africa,Sydney Pollack
1987,Best International Film,The Assault,
1987,Best Picture,Platoon,Arnold Kopelson
1988,Best International Film,Babette's Feast,
1988,Best Picture,The Last Emperor,Jeremy Thomas
1989,Best International Film,Pelle the Conqueror,
1989,Best Picture,Rain Man,Mark Johnson
1990,Best International Film,Cinema Paradiso,
1990,Best Picture,Driving Miss Daisy,"Richard D. Zanuck, Lili Fini Zanuck"
1991,Best International Film,Journey of Hope,
1991,Best Picture,Dances with Wolves,"Jim Wilson, Kevin Costner"
1992,Best International Film,Mediterraneo,
1992,Best Picture,The Silence of the Lambs,"Edward Saxon, Kenneth Utt, Ron Bozman"
1993,Best International Film,Indochine,
1993,Best Picture,Unforgiven,Clint Eastwood
1994,Best International Film,Belle Epoque,
1994,Best Picture,Schindler's List,"Steven Spielberg, Gerald R. Molen, Branko Lustig"
1995,Best International Film,Burnt by the Sun,
