year,awards_name,winner,winner_details
1953,Best British Actor,Ralph Richardson,The Sound Barrier
1953,Best British Actress,Vivien Leigh,A Streetcar Named Desire
1954,Best British Actor,John Gielgud,Julius Caesar
1954,Best British Actress,Audrey Hepburn,Roman Holiday
1955,Best British Actor,Kenneth More,Doctor in the House
1955,Best British Actress,Yvonne Mitchell,The Divided Heart
1956,Best British Actor,Laurence Olivier,Richard III
1956,Best British Actress,Katie Johnson,The Ladykillers
1957,Best British Actor,Peter Finch,A Town Like Alice
1957,Best British Actress,Virginia McKenna,A Town Like Alice
1958,Best British Actor,Alec Guinness,The Bridge on the River Kwai
1958,Best British Actress,Heather Sears,The Story of Esther Costello
1959,Best British Actor,Trevor Howard,The Key
1959,Best British Actress,Irene Worth,Orders to Kill
1960,Best British Actor,Peter Sellers,I'm All Right Jack
1960,Best British Actress,Audrey Hepburn,The Nun's Story
1961,Best British Actor,Peter Finch,The Trials of Oscar Wilde
1961,Best British Actress,Rachel Roberts,Saturday Night and Sunday Morning
1962,Best British Actor,Peter Finch,No Love for Johnnie
1962,Best British Actress,Dora Bryan,A Taste of Honey
1963,Best British Actor,Peter O'Toole,Lawrence of Arabia
1963,Best British Actress,Leslie Caron,The L-Shaped Room
1964,Best British Actor,Dirk Bogarde,The Servant
1964,Best British Actress,Rachel Roberts,This Sporting Life
1965,Best British Actor,Richard Attenborough,"Guns at Batasi, Seance on a Wet Afternoon"
1965,Best British Actress,Audrey Hepburn,Charade
1966,Best British Actor,Dirk Bogarde,Darling
1966,Best British Actress,Julie Christie,Darling
1967,Best British Actor,Richard Burton,"Who's Afraid of Virginia Woolf?, The Spy Who Came in from the Cold"
1967,Best British Actress,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1968,Best British Actor,Paul Scofield,A Man for All Seasons
1968,Best British Actress,Edith Evans,The Whisperers
1969,Best Actor,Spencer Tracy,Guess Who's Coming to Dinner
1969,Best Actress,Katharine Hepburn,"Guess Who's Coming to Dinner, The Lion in Winter"
1969,Best Director,Mike Nichols,The Graduate
1970,Best Actor,Dustin Hoffman,"John and Mary, Midnight Cowboy"
1970,Best Actress,Maggie Smith,The Prime of Miss Jean Brodie
1970,Best Director,John Schlesinger,Midnight Cowboy
1971,Best Actor,Robert Redford,"Butch Cassidy and the Sundance Kid, Tell Them Willie Boy Is Here, Downhill Racer"
1971,Best Actress,Katharine Ross,"Butch Cassidy and the Sundance Kid, Tell Them Willie Boy Is Here"
1971,Best Director,George Roy Hill,Butch Cassidy and the Sundance Kid
1972,Best Actor,Peter Finch,Sunday Bloody Sunday
1972,Best Actress,Glenda Jackson,Sunday Bloody Sunday
1972,Best Director,John Schlesinger,Sunday Bloody Sunday
1973,Best Actor,Gene Hackman,"The French Connection, The Poseidon Adventure"
1973,Best Actress,Liza Minnelli,Cabaret
1973,Best Director,Bob Fosse,Cabaret
1974,Best Actor,Walter Matthau,"Charley Varrick, Pete 'n' Tillie"
1974,Best Actress,Stéphane Audran,"Just Before Nightfall, The Discreet Charm of the Bourgeoisie"
1974,Best Director,François Truffaut,Day for Night
1975,Best Actor,Jack Nicholson,"Chinatown, The Last Detail"
1975,Best Actress,Joanne Woodward,"Summer Wishes, Winter Dreams"
