year,awards_name,winner,winner_details
1955,Best Animation,Song of the Prairie,
1956,Best Animation,Blinkity Blank,
1957,Best Animation,Gerald McBoing! Boing! on Planet Moo,
1958,Best Animation,Pan-tele-tron,Digby Turpin
1959,Best Animation,The Little Island,
1960,Best Animation,The Violinist,Ernest Pintoff
1961,Best Animation,Universe,"Roman Kroitor, Colin Low"
1962,Best Animation,One Hundred and One Dalmatians,
1963,Best Animation,The Apple,
1964,Best Animation,Automania 2000,
1965,Best Animation,,
1966,Best Animation,Do Be Careful Boys,"Vera Linnecar, Nancy Hanna, Keith Learner"
1968,Best Animation,Notes on a Triangle,René Jodoin
1969,Best Animation,Pas de deux,Norman McLaren
1969,Best Film,The Graduate,Mike Nichols
1970,Best Film,Midnight Cowboy,
1971,Best Animation,Henry 9 'til 5,Bob Godfrey
1971,Best Film,Butch Cassidy and the Sundance Kid,
1972,Best Animation,,
1972,Best Film,Sunday Bloody Sunday,
1973,Best Film,Cabaret,
1974,Best Animation,Tchou-tchou,
1974,Best Film,Day for Night,
1975,Best Animation,Hunger,
1975,Best Film,"Lacombe, Lucien",
1976,Best Animation,Great (Isambard Kingdom Brunel),Bob Godfrey
1976,Best Film,Alice Doesn't Live Here Anymore,
1977,Best Film,One Flew Over the Cuckoo's Nest,
1978,Best Film,Annie Hall,Woody Allen
1979,Best Film,Julia,
1980,Best Film,Manhattan,
1981,Best Animation,The Three Inventors,Michel Ocelot
1981,Best Film,The Elephant Man,Jonathan Sanger
1982,Best Animation,The Sweater,Sheldon Cohen
1982,Best Film,Chariots of Fire,David Puttnam
1983,Best Film,Gandhi,Richard Attenborough
1983,Best Foreign Language Film,Christ Stopped at Eboli,Francesco Rosi
1984,Best Film,Educating Rita,Lewis Gilbert
1984,Best Foreign Language Film,Danton,"Margaret Ménégoz, Barbara Pec-Slesicka, Andrzej Wajda"
1985,Best Film,The Killing Fields,David Puttnam
1985,Best Foreign Language Film,Carmen,"Emiliano Piedra, Carlos Saura"
1986,Best Film,The Purple Rose of Cairo,"Robert Greenhut, Woody Allen"
1986,Best Foreign Language Film,Colonel Redl,"Manfred Durniok, István Szabó"
1987,Best Film,A Room with a View,"Ismail Merchant, James Ivory"
1987,Best Foreign Language Film,Ran,"Serge Silberman, Masato Hara, Akira Kurosawa"
1988,Best Film,Jean de Florette,Claude Berri
1988,Best Foreign Language Film,The Sacrifice,"Anna-Lena Wibom, Andrei Tarkovsky"
1989,Best Animation,The Hill Farm,Mark Baker
1989,Best Film,The Last Emperor,"Jeremy Thomas, Bernardo Bertolucci"
1990,Best Animation,A Grand Day Out,Nick Park
1990,Best Film,Dead Poets Society,"Steven Haft, Paul Junger Witt, Tony Thomas, Peter Weir"
1991,Best Animation,Toxic,Andrew McEwan
1991,Best Film,Goodfellas,"Irwin Winkler, Martin Scorsese"
1992,Best Animation,Balloon,Ken Lidster
1992,Best Film,The Commitments,"Roger Randall-Cutler, Lynda Myles, Alan Parker"
1993,Best Film,Howards End,"Ismail Merchant, James Ivory"
1994,Best Animation,The Wrong Trousers,"Christopher Moll, Nick Park"
1994,Best Film,Schindler's List,"Steven Spielberg, Gerald R. Molen, Branko Lustig"
1995,Best Film,Four Weddings and a Funeral,"Duncan Kenworthy, Mike Newell"
1996,Best Animation,A Close Shave,"Carla Shelley, Michael Rose, Nick Park"
1996,Best Film,Sense and Sensibility,"Lindsay Doran, Ang Lee"
1997,Best Film,The English Patient,"Saul Zaentz, Anthony Minghella"
1998,Best Film,The Full Monty,Uberto Pasolini
1999,Best Film,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, Marc Norman"
2000,Best Film,American Beauty,"Bruce Cohen, Dan Jinks"
2001,Best Film,Gladiator,"Douglas Wick, David Franzoni, Branko Lustig"
2002,Best Film,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Barrie M. Osborne, Tim Sanders"
2003,Best Film,The Pianist,"Roman Polanski, Robert Benmussa, Alain Sarde"
2004,Best Film,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Fran Walsh, Peter Jackson"
2005,Best Film,The Aviator,"Michael Mann, Sanford R. Climan, Graham King, Charles Evans Jr."
2006,Best Film,Brokeback Mountain,"Diana Ossana, James Schamus"
2007,Best Animation,Happy Feet,George Miller
2007,Best Film,The Queen,"Tracey Seaward, Christine Langan, Andy Harries"
2008,Best Animation,Ratatouille,Brad Bird
2008,Best Film,Atonement,"Tim Bevan, Eric Fellner, Paul Webster"
2009,Best Animation,WALL·E,Andrew Stanton
2009,Best Film,Slumdog Millionaire,Christian Colson
2010,Best Animation,Up,Pete Docter
2010,Best Film,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Greg Shapiro"
2011,Best Animation,Toy Story 3,Lee Unkrich
2011,Best Film,The King's Speech,"Iain Canning (Producer), Emile Sherman (Producer), Gareth Unwin (Producer)"
2012,Best Animation,Rango,Gore Verbinski
2012,Best Film,The Artist,Thomas Langmann
2013,Best Animation,Brave,"Mark Andrews, Brenda Chapman"
2013,Best Film,Argo,"Grant Heslov, Ben Affleck, George Clooney"
2014,Best Animation,Frozen,"Chris Buck, Jennifer Lee"
2014,Best Film,12 Years a Slave,"Anthony Katagas, Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen"
2015,Best Animation,The Lego Movie,"Phil Lord, Christopher Miller"
2015,Best Film,Boyhood,"Richard Linklater, Cathleen Sutherland"
2016,Best Animation,Inside Out,Pete Docter
2016,Best Film,The Revenant,"Steve Golin, Alejandro G. Iñárritu, Arnon Milchan, Mary Parent, Keith Redmon"
2017,Best Animation,Kubo and the Two Strings,Travis Knight
2017,Best Film,La La Land,"Fred Berger, Jordan Horowitz, Marc Platt"
2018,Best Animation,Coco,"Lee Unkrich, Darla K. Anderson"
2018,Best Film,"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Peter Czernin, Martin McDonagh"
2019,Best Animation,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord"
2019,Best Film,Roma,"Alfonso Cuarón, Gabriela Rodriguez"
2020,Best Animation,Klaus,"Sergio Pablos, Jinko Gotoh"
2020,Best Film,1917,"Pippa Harris, Callum McDougall, Sam Mendes, Jayne-Ann Tenggren"
2021,Best Animation,Soul,"Pete Docter, Dana Murray"
2021,Best Film,Nomadland,"Mollye Asher, Dan Janvey, Frances McDormand, Peter Spears, Chloé Zhao"
2022,Best Animation,Encanto,"Clark Spencer, Jared Bush, Byron Howard, Yvett Merino"
2022,Best Film,The Power of the Dog,"Jane Campion, Iain Canning, Roger Frappier, Tanya Seghatchian, Emile Sherman"
