,title,director
0,How to Be Single,Christian Ditter
1,A Single Man,Tom Ford
2,The Lost City of Z,James Gray
3,The Gods Must Be Crazy,Jamie Uys
4,Solace,Afonso Poyart
5,Pain and Glory,Pedro Almodóvar
6,I Still Know What You Did Last Summer,Danny Cannon
7,Push,Paul McGuigan
8,The Emoji Movie,Tony Leondis
9,The Art of Getting By,Gavin Wiesen
10,The Forbidden Kingdom,Rob Minkoff
11,Submarine,Richard Ayoade
12,Aloha,Cameron Crowe
13,Rust and Bone,Jacques Audiard
14,Robin Hood,Otto Bathurst
15,Friday the 13th Part III,Steve Miner
16,Inland Empire,David Lynch
17,Wild Hogs,Walt Becker
18,Sorry to Bother You,Boots Riley
19,The Mission,Roland Joffé
20,The Mountain II,Alper Caglar
21,Uncle Buck,John Hughes
22,The Benchwarmers,Dennis Dugan
23,Secondhand Lions,Tim McCanlies
24,Bridget Jones: The Edge of Reason,Beeban Kidron
25,Extremely Loud & Incredibly Close,Stephen Daldry
26,Pet Sematary,Kevin Kölsch
26,Pet Sematary,Dennis Widmyer
27,Gerald's Game,Mike Flanagan
28,Mandy,Panos Cosmatos
29,Jingle All the Way,Brian Levant
30,Biutiful,Alejandro G. Iñárritu
31,Three Days of the Condor,Sydney Pollack
32,Jigsaw,Michael Spierig
32,Jigsaw,Peter Spierig
33,Fatal Attraction,Adrian Lyne
34,Deuce Bigalow: Male Gigolo,Mike Mitchell
35,Videodrome,David Cronenberg
36,Super,James Gunn
37,The Cat in the Hat,Bo Welch
38,Magic in the Moonlight,Woody Allen
39,Instant Family,Sean Anders
40,The Space Between Us,Peter Chelsom
41,Dogtooth,Yorgos Lanthimos
42,Ladder 49,Jay Russell
43,Sisters,Jason Moore
44,The House Bunny,Fred Wolf
45,The Guilty,Antoine Fuqua
46,Indecent Proposal,Adrian Lyne
47,Burnt,John Wells
48,The Family,Luc Besson
49,Odd Thomas,Stephen Sommers
50,Rambo: Last Blood,Adrian Grunberg
51,Battlefield Earth,Roger Christian
52,Asterix & Obelix: Mission Cleopatra,Alain Chabat
53,The Neon Demon,Nicolas Winding Refn
54,House of 1000 Corpses,Rob Zombie
55,Hoodwinked,Cory Edwards
55,Hoodwinked,Todd Edwards
55,Hoodwinked,Tony Leech
56,THX 1138,George Lucas
57,Horns,Alexandre Aja
58,Dreamgirls,Bill Condon
59,Fright Night,Craig Gillespie
60,Chain Reaction,Andrew Davis
61,Tristan + Isolde,Kevin Reynolds
62,Three Colors: Blue,Krzysztof Kieslowski
63,Fruitvale Station,Ryan Coogler
64,"Jeff, Who Lives at Home",Jay Duplass
64,"Jeff, Who Lives at Home",Mark Duplass
65,Romeo Must Die,Andrzej Bartkowiak
66,Cheaper by the Dozen 2,Adam Shankman
67,George of the Jungle,Sam Weisman
68,The Whole Nine Yards,Jonathan Lynn
69,Volver,Pedro Almodóvar
70,Open Your Eyes,Alejandro Amenábar
71,The Station Agent,Tom McCarthy
72,The Possession,Ole Bornedal
73,Friday the 13th,Marcus Nispel
74,Weekend at Bernie's,Ted Kotcheff
75,Pale Rider,Clint Eastwood
76,The Purge: Election Year,James DeMonaco
77,End of Days,Peter Hyams
78,The Mexican,Gore Verbinski
79,Marie Antoinette,Sofia Coppola
80,Mirrors,Alexandre Aja
81,Bicentennial Man,Chris Columbus
82,Mirage,Oriol Paulo
83,Runner Runner,Brad Furman
84,Legend,Ridley Scott
85,Julie & Julia,Nora Ephron
86,Catwoman,Pitof
87,The Ring Two,Hideo Nakata
88,Entourage,Doug Ellin
89,The Man from Nowhere,Jeong-beom Lee
90,High Plains Drifter,Clint Eastwood
91,Power Rangers,Dean Israelite
92,The Golden Child,Michael Ritchie
93,A Cure for Wellness,Gore Verbinski
94,The Unborn,David S. Goyer
95,G.O.R.A.,Ömer Faruk Sorak
96,Judge Dredd,Danny Cannon
97,Absolute Power,Clint Eastwood
98,The Hudsucker Proxy,Joel Coen
98,The Hudsucker Proxy,Ethan Coen
99,Delivery Man,Ken Scott
100,The Producers,Mel Brooks
101,The Night Before,Jonathan Levine
102,Bride of Chucky,Ronny Yu
103,Following,Christopher Nolan
104,Velvet Buzzsaw,Dan Gilroy
105,Final Fantasy: The Spirits Within,Hironobu Sakaguchi
105,Final Fantasy: The Spirits Within,Motonori Sakakibara
106,Happy Death Day 2U,Christopher Landon
107,Proof of Life,Taylor Hackford
108,Solaris,Andrei Tarkovsky
109,The Omen,John Moore
110,The Room,Tommy Wiseau
111,"tick, tick...BOOM!",Lin-Manuel Miranda
112,Showtime,Tom Dey
113,Saw VI,Kevin Greutert
114,The Good Dinosaur,Peter Sohn
115,Be Kind Rewind,Michel Gondry
116,King Richard,Reinaldo Marcus Green
117,Goodnight Mommy,Severin Fiala
117,Goodnight Mommy,Veronika Franz
118,Coyote Ugly,David McNally
119,The Boy,William Brent Bell
120,Mississippi Burning,Alan Parker
121,Ava,Tate Taylor
122,The Dead Don't Die,Jim Jarmusch
123,Fanny and Alexander,Ingmar Bergman
124,Girl with a Pearl Earring,Peter Webber
125,Moonstruck,Norman Jewison
126,Star Trek: Nemesis,Stuart Baird
127,The Lady Vanishes,Alfred Hitchcock
128,The Black Dahlia,Brian De Palma
129,Before the Devil Knows You're Dead,Sidney Lumet
130,Ouija: Origin of Evil,Mike Flanagan
131,Once,John Carney
132,Miss Sloane,John Madden
133,Airplane II: The Sequel,Ken Finkleman
134,Lords of Dogtown,Catherine Hardwicke
135,Beverly Hills Cop III,John Landis
136,Murder by Numbers,Barbet Schroeder
137,Conan the Barbarian,Marcus Nispel
138,Rio 2,Carlos Saldanha
139,Our Idiot Brother,Jesse Peretz
140,Cobra,George P. Cosmatos
141,The King,David Michôd
142,The East,Zal Batmanglij
143,Sister Act,Emile Ardolino
144,Taking Lives,D.J. Caruso
145,The Grapes of Wrath,John Ford
146,Wanderlust,David Wain
147,The Babysitter,McG
148,The Rainmaker,Francis Ford Coppola
149,A Serbian Film,Srdjan Spasojevic
150,Snake Eyes,Brian De Palma
151,Martyrs,Pascal Laugier
152,A Nightmare on Elm Street 4: The Dream Master,Renny Harlin
153,Cool Runnings,Jon Turteltaub
154,The Long Kiss Goodnight,Renny Harlin
155,The Wedding Date,Clare Kilner
156,The Life of David Gale,Alan Parker
157,The Hills Have Eyes 2,Martin Weisz
158,Annabelle Comes Home,Gary Dauberman
159,Veer-Zaara,Yash Chopra
160,What's Your Number?,Mark Mylod
161,Derailed,Mikael Håfström
162,Underwater,William Eubank
163,Showgirls,Paul Verhoeven
164,Splash,Ron Howard
165,You're Next,Adam Wingard
166,Free State of Jones,Gary Ross
167,The Rundown,Peter Berg
168,The Conversation,Francis Ford Coppola
169,Space Cowboys,Clint Eastwood
170,Half Baked,Tamra Davis
171,Cocktail,Roger Donaldson
172,Triangle,Christopher Smith
173,Pride and Glory,Gavin O'Connor
174,Head-On,Fatih Akin
175,"Synecdoche, New York",Charlie Kaufman
176,The Soloist,Joe Wright
177,Jackie,Pablo Larraín
178,Silent Hill: Revelation,M.J. Bassett
179,Easy Rider,Dennis Hopper
180,Automata,Gabe Ibáñez
181,Office Christmas Party,Josh Gordon
181,Office Christmas Party,Will Speck
182,Drive Angry,Patrick Lussier
183,The White Tiger,Ramin Bahrani
184,The Sum of All Fears,Phil Alden Robinson
185,Blue Streak,Les Mayfield
186,Going in Style,Zach Braff
187,Batman: The Killing Joke,Sam Liu
188,Talk to Her,Pedro Almodóvar
189,Dolittle,Stephen Gaghan
190,Ride Along,Tim Story
191,Tell No One,Guillaume Canet
192,Collateral Damage,Andrew Davis
193,Insidious: The Last Key,Adam Robitel
194,The New World,Terrence Malick
195,Star Trek: The Motion Picture,Robert Wise
196,First Reformed,Paul Schrader
197,The Spiderwick Chronicles,Mark Waters
198,Dreamcatcher,Lawrence Kasdan
199,News of the World,Paul Greengrass
200,The Darkest Hour,Chris Gorak
201,Dan in Real Life,Peter Hedges
202,Two Weeks Notice,Marc Lawrence
203,Sooryavanshi,Rohit Shetty
204,A Streetcar Named Desire,Elia Kazan
205,The Inbetweeners,Ben Palmer
206,Fletch,Michael Ritchie
207,Persona,Ingmar Bergman
208,The Fisher King,Terry Gilliam
