year,awards_name,winner,winner_details
1944,Best Actor,Paul Lukas,Watch on the Rhine
1944,Best Actress,Jennifer Jones,The Song of Bernadette
1944,Best Director,Henry King,The Song of Bernadette
1945,Best Actor,Alexander Knox,Wilson
1945,Best Actress,Ingrid Bergman,Gaslight
1945,Best Director,Leo McCarey,Going My Way
1946,Best Actor,Ray Milland,The Lost Weekend
1946,Best Actress,Ingrid Bergman,The Bells of St. Mary's
1946,Best Director,Billy Wilder,The Lost Weekend
1947,Best Actor,Gregory Peck,The Yearling
1947,Best Actress,Rosalind Russell,Sister Kenny
1947,Best Director,Frank Capra,It's a Wonderful Life
1948,Best Actor,Ronald Colman,A Double Life
1948,Best Actress,Rosalind Russell,Mourning Becomes Electra
1948,Best Director,Elia Kazan,Gentleman's Agreement
1949,Best Actor,Laurence Olivier,Hamlet
1949,Best Actress,Jane Wyman,Johnny Belinda
1949,Best Director,John Huston,The Treasure of the Sierra Madre
1950,Best Actor,Broderick Crawford,All the King's Men
1950,Best Actress,Olivia de Havilland,The Heiress
1950,Best Director,Robert Rossen,All the King's Men
1951,Best Actor - Comedy or Musical,Fred Astaire,Three Little Words
1951,Best Actor - Drama,José Ferrer,Cyrano de Bergerac
1951,Best Actress - Comedy or Musical,Judy Holliday,Born Yesterday
1951,Best Actress - Drama,Gloria Swanson,Sunset Blvd.
1951,Best Director,Billy Wilder,Sunset Blvd.
1951,World Film Favorite - Female,Jane Wyman,
1951,World Film Favorite - Male,Gregory Peck,
1952,Best Actor - Comedy or Musical,Danny Kaye,On the Riviera
1952,Best Actor - Drama,Fredric March,Death of a Salesman
1952,Best Actress - Comedy or Musical,June Allyson,Too Young to Kiss
1952,Best Actress - Drama,Jane Wyman,The Blue Veil
1952,Best Director,Laslo Benedek,Death of a Salesman
1953,Best Actor - Comedy or Musical,Donald O'Connor,Singin' in the Rain
1953,Best Actor - Drama,Gary Cooper,High Noon
1953,Best Actress - Comedy or Musical,Susan Hayward,With a Song in My Heart
1953,Best Actress - Drama,Shirley Booth,"Come Back, Little Sheba"
1953,Best Director,Cecil B. DeMille,The Greatest Show on Earth
1953,World Film Favorite - Female,Susan Hayward,
1953,World Film Favorite - Male,John Wayne,
1954,Best Actor - Comedy or Musical,David Niven,The Moon Is Blue
1954,Best Actor - Drama,Spencer Tracy,The Actress
1954,Best Actress - Comedy or Musical,Ethel Merman,Call Me Madam
1954,Best Actress - Drama,Audrey Hepburn,Roman Holiday
1954,Best Director,Fred Zinnemann,From Here to Eternity
1954,World Film Favorite - Female,Marilyn Monroe,
1954,World Film Favorite - Male,Alan Ladd,
1955,Best Actor - Comedy or Musical,James Mason,A Star Is Born
1955,Best Actor - Drama,Marlon Brando,On the Waterfront
1955,Best Actress - Comedy or Musical,Judy Garland,A Star Is Born
1955,Best Actress - Drama,Grace Kelly,The Country Girl
1955,Best Director,Elia Kazan,On the Waterfront
1955,World Film Favorite - Female,Audrey Hepburn,
1955,World Film Favorite - Male,Gregory Peck,
1956,Best Actor - Comedy or Musical,Tom Ewell,The Seven Year Itch
1956,Best Actor - Drama,Ernest Borgnine,Marty
1956,Best Actress - Comedy or Musical,Jean Simmons,Guys and Dolls
1956,Best Actress - Drama,Anna Magnani,The Rose Tattoo
1956,Best Director,Joshua Logan,Picnic
1956,World Film Favorite - Female,Grace Kelly,
1956,World Film Favorite - Male,Marlon Brando,
1957,Best Actor - Comedy or Musical,Cantinflas,Around the World in 80 Days
1957,Best Actor - Drama,Kirk Douglas,Lust for Life
1957,Best Actress - Comedy or Musical,Deborah Kerr,The King and I
1957,Best Actress - Drama,Ingrid Bergman,Anastasia
1957,Best Director,Elia Kazan,Baby Doll
1957,World Film Favorite - Female,Kim Novak,
1957,World Film Favorite - Male,James Dean,
1958,Best Actor - Comedy or Musical,Frank Sinatra,Pal Joey
1958,Best Actor - Drama,Alec Guinness,The Bridge on the River Kwai
1958,Best Actress - Comedy or Musical,Kay Kendall,Les Girls
1958,Best Actress - Drama,Joanne Woodward,The Three Faces of Eve
1958,Best Director,David Lean,The Bridge on the River Kwai
1958,World Film Favorite - Female,Doris Day,
1958,World Film Favorite - Male,Tony Curtis,
1959,Best Actor - Comedy or Musical,Danny Kaye,Me and the Colonel
1959,Best Actor - Drama,David Niven,Separate Tables
1959,Best Actress - Comedy or Musical,Rosalind Russell,Auntie Mame
1959,Best Actress - Drama,Susan Hayward,I Want to Live!
1959,Best Director,Vincente Minnelli,Gigi
1959,World Film Favorite - Female,Deborah Kerr,
1959,World Film Favorite - Male,Rock Hudson,
1960,Best Actor - Comedy or Musical,Jack Lemmon,Some Like It Hot
1960,Best Actor - Drama,Anthony Franciosa,Career
1960,Best Actress - Comedy or Musical,Marilyn Monroe,Some Like It Hot
1960,Best Actress - Drama,Elizabeth Taylor,"Suddenly, Last Summer"
1960,Best Director,William Wyler,Ben-Hur
1960,World Film Favorite - Female,Doris Day,
1960,World Film Favorite - Male,Rock Hudson,
1961,Best Actor - Comedy or Musical,Jack Lemmon,The Apartment
