year,awards_name,winner,winner_details
1944,Best Picture,The Song of Bernadette,
1945,Best Picture,Going My Way,
1946,Best Picture,The Lost Weekend,
1947,Best Picture,The Best Years of Our Lives,
1948,Best Picture,Gentleman's Agreement,
1949,Best International Film,Hamlet,
1949,Best Picture,Johnny Belinda,
1950,Best International Film,Bicycle Thieves,
1950,Best Picture,All the King's Men,
1951,Best Picture - Drama,Sunset Blvd.,
1952,Best Picture - Comedy or Musical,An American in Paris,
1952,Best Picture - Drama,A Place in the Sun,
1952,World Film Favorite,Esther Williams,
1953,Best Picture - Comedy or Musical,With a Song in My Heart,
1953,Best Picture - Drama,The Greatest Show on Earth,
1954,Best Picture - Drama,The Robe,
1955,Best International Film,Genevieve,
1955,Best Picture - Comedy or Musical,Carmen Jones,
1955,Best Picture - Drama,On the Waterfront,
1956,Best International Film,Kodomo no me,
1956,Best Picture - Comedy or Musical,Guys and Dolls,
1956,Best Picture - Drama,East of Eden,
1957,Best International Film,A Girl in Black,
1957,Best Picture - Comedy or Musical,The King and I,
1957,Best Picture - Drama,Around the World in 80 Days,
1958,Best International Film,Behold Thy Son,
1958,Best Picture - Comedy or Musical,Les Girls,
1958,Best Picture - Drama,The Bridge on the River Kwai,
1959,Best International Film,L'eau vive,
1959,Best Picture - Comedy or Musical,Auntie Mame,
1959,Best Picture - Drama,The Defiant Ones,
1960,Best International Film,Aren't We Wonderful?,
1960,Best Picture - Comedy or Musical,Some Like It Hot,
1960,Best Picture - Drama,Ben-Hur,
1961,Best International Film,La vérité,
1961,Best Picture - Comedy or Musical,The Apartment,
1961,Best Picture - Drama,Spartacus,
1962,Best International Film,Two Women,
1962,Best International Film,The Good Soldier Schweik,
1962,Best Picture - Comedy or Musical,A Majority of One,
1962,Best Picture - Drama,The Guns of Navarone,
1963,Best International Film,Divorce Italian Style,
1963,Best Picture - Comedy or Musical,That Touch of Mink,
1963,Best Picture - Drama,Lawrence of Arabia,
1964,Best International Film,Any Number Can Win,
1964,Best Picture - Comedy or Musical,Tom Jones,
1964,Best Picture - Drama,The Cardinal,
1965,Best International Film,Marriage Italian Style,
1965,Best Picture - Comedy or Musical,My Fair Lady,
1965,Best Picture - Drama,Becket,
1966,Best International Film,Juliet of the Spirits,
1966,Best Picture - Comedy or Musical,The Sound of Music,
1966,Best Picture - Drama,Doctor Zhivago,
1967,Best International Film,A Man and a Woman,
1967,Best Picture - Comedy or Musical,The Russians Are Coming the Russians Are Coming,
1967,Best Picture - Drama,A Man for All Seasons,
1968,Best International Film,Live for Life,
1968,Best Picture - Comedy or Musical,The Graduate,
1968,Best Picture - Drama,In the Heat of the Night,
1969,Best International Film,War and Peace,
1969,Best Picture - Comedy or Musical,Oliver!,
1969,Best Picture - Drama,The Lion in Winter,
1970,Best International Film,Z,
1970,Best Picture - Comedy or Musical,The Secret of Santa Vittoria,
1970,Best Picture - Drama,Anne of the Thousand Days,
1971,Best International Film,Rider on the Rain,
1971,Best Picture - Comedy or Musical,MASH,
1971,Best Picture - Drama,Love Story,
1972,Best International Film,The Policeman,
1972,Best Picture - Comedy or Musical,Fiddler on the Roof,
1972,Best Picture - Drama,The French Connection,
1973,Best International Film,The Emigrants,
1973,Best Picture - Comedy or Musical,Cabaret,
1973,Best Picture - Drama,The Godfather,
1974,Best International Film,The Pedestrian,
1974,Best Picture - Comedy or Musical,American Graffiti,
1974,Best Picture - Drama,The Exorcist,
1975,Best International Film,Scenes from a Marriage,
1975,Best Picture - Comedy or Musical,The Longest Yard,
1975,Best Picture - Drama,Chinatown,
1976,Best International Film,Lies My Father Told Me,
1976,Best Picture - Comedy or Musical,The Sunshine Boys,
1976,Best Picture - Drama,One Flew Over the Cuckoo's Nest,
1977,Best International Film,Face to Face,
1977,Best Picture - Comedy or Musical,A Star Is Born,
1977,Best Picture - Drama,Rocky,
1978,Best International Film,A Special Day,
1978,Best Picture - Comedy or Musical,The Goodbye Girl,
1978,Best Picture - Drama,The Turning Point,
1979,Best International Film,Autumn Sonata,
1979,Best Picture - Comedy or Musical,Heaven Can Wait,
1979,Best Picture - Drama,Midnight Express,
1980,Best International Film,La Cage aux folles,
1980,Best Picture - Comedy or Musical,Breaking Away,
1980,Best Picture - Drama,Kramer vs. Kramer,
1981,Best International Film,Tess,
1981,Best Picture - Comedy or Musical,Coal Miner's Daughter,
1981,Best Picture - Drama,Ordinary People,
1982,Best International Film,Chariots of Fire,
1982,Best Picture - Comedy or Musical,Arthur,
1982,Best Picture - Drama,On Golden Pond,
1983,Best International Film,Gandhi,
1983,Best Picture - Comedy or Musical,Tootsie,
1983,Best Picture - Drama,E.T. the Extra-Terrestrial,
1984,Best International Film,Fanny and Alexander,
1984,Best Picture - Comedy or Musical,Yentl,
1984,Best Picture - Drama,Terms of Endearment,
1985,Best International Film,A Passage to India,
1985,Best Picture - Comedy or Musical,Romancing the Stone,
1985,Best Picture - Drama,Amadeus,
1986,Best International Film,The Official Story,
1986,Best Picture - Comedy or Musical,Prizzi's Honor,
1986,Best Picture - Drama,Out of Africa,
1987,Best International Film,The Assault,
1987,Best Picture - Comedy or Musical,Hannah and Her Sisters,
1987,Best Picture - Drama,Platoon,
1988,Best International Film,My Life as a Dog,
1988,Best Picture - Comedy or Musical,Hope and Glory,
1988,Best Picture - Drama,The Last Emperor,
1989,Best International Film,Pelle the Conqueror,
1989,Best Picture - Comedy or Musical,Working Girl,
1989,Best Picture - Drama,Rain Man,
1990,Best International Film,Cinema Paradiso,
1990,Best Picture - Comedy or Musical,Driving Miss Daisy,
1990,Best Picture - Drama,Born on the Fourth of July,
1991,Best International Film,Cyrano de Bergerac,
1991,Best Picture - Comedy or Musical,Green Card,
1991,Best Picture - Drama,Dances with Wolves,
1992,Best International Film,Europa Europa,
1992,Best Picture - Comedy or Musical,Beauty and the Beast,
1992,Best Picture - Drama,Bugsy,
1993,Best International Film,Indochine,
1993,Best Picture - Comedy or Musical,The Player,
1993,Best Picture - Drama,Scent of a Woman,
1994,Best International Film,Farewell My Concubine,
1994,Best Picture - Comedy or Musical,Mrs. Doubtfire,
1994,Best Picture - Drama,Schindler's List,
1995,Best International Film,Farinelli,
1995,Best Picture - Comedy or Musical,The Lion King,
1995,Best Picture - Drama,Forrest Gump,
1996,Best International Film,Les misérables,
1996,Best Picture - Comedy or Musical,Babe,
1996,Best Picture - Drama,Sense and Sensibility,
1997,Best International Film,Kolya,
1997,Best Picture - Comedy or Musical,Evita,
1997,Best Picture - Drama,The English Patient,
1998,Best International Film,Ma vie en rose,
1998,Best Picture - Comedy or Musical,As Good as It Gets,
1998,Best Picture - Drama,Titanic,
1999,Best International Film,Central Station,
1999,Best Picture - Comedy or Musical,Shakespeare in Love,
1999,Best Picture - Drama,Saving Private Ryan,
2000,Best International Film,All About My Mother,
2000,Best Picture - Comedy or Musical,Toy Story 2,
2000,Best Picture - Drama,American Beauty,
2001,Best International Film,"Crouching Tiger, Hidden Dragon",
2001,Best Picture - Comedy or Musical,Almost Famous,
2001,Best Picture - Drama,Gladiator,
2002,Best International Film,No Man's Land,
2002,Best Picture - Comedy or Musical,Moulin Rouge!,
2002,Best Picture - Drama,A Beautiful Mind,
2003,Best International Film,Talk to Her,
2003,Best Picture - Comedy or Musical,Chicago,
2003,Best Picture - Drama,The Hours,
2004,Best International Film,Osama,
2004,Best Picture - Comedy or Musical,Lost in Translation,
2004,Best Picture - Drama,The Lord of the Rings: The Return of the King,
2005,Best International Film,The Sea Inside,
2005,Best Picture - Comedy or Musical,Sideways,
2005,Best Picture - Drama,The Aviator,
2006,Best International Film,Paradise Now,
2006,Best Picture - Comedy or Musical,Walk the Line,
2006,Best Picture - Drama,Brokeback Mountain,
2007,Best Animation,Cars,
2007,Best International Film,Letters from Iwo Jima,
2007,Best Picture - Comedy or Musical,Dreamgirls,
2007,Best Picture - Drama,Babel,
2008,Best Animation,Ratatouille,
2008,Best International Film,The Diving Bell and the Butterfly,
2008,Best Picture - Comedy or Musical,Sweeney Todd: The Demon Barber of Fleet Street,
2008,Best Picture - Drama,Atonement,
2009,Best Animation,WALL·E,
2009,Best International Film,Waltz with Bashir,
2009,Best Picture - Comedy or Musical,Vicky Cristina Barcelona,
2009,Best Picture - Drama,Slumdog Millionaire,
2010,Best Animation,Up,
2010,Best International Film,The White Ribbon,
2010,Best Picture - Comedy or Musical,The Hangover,
2010,Best Picture - Drama,Avatar,
2011,Best Animation,Toy Story 3,
2011,Best International Film,In a Better World,
2011,Best Picture - Comedy or Musical,The Kids Are All Right,
2011,Best Picture - Drama,The Social Network,
2012,Best Animation,The Adventures of Tintin,
2012,Best International Film,A Separation,
2012,Best Picture - Comedy or Musical,The Artist,
2012,Best Picture - Drama,The Descendants,
2013,Best Animation,Brave,
2013,Best International Film,Amour,
2013,Best Picture - Comedy or Musical,Les Misérables,
2013,Best Picture - Drama,Argo,
2014,Best Animation,Frozen,
2014,Best International Film,The Great Beauty,
2014,Best Picture - Comedy or Musical,American Hustle,
2014,Best Picture - Drama,12 Years a Slave,
2015,Best Animation,How to Train Your Dragon 2,
2015,Best International Film,Leviathan,
2015,Best Picture - Comedy or Musical,The Grand Budapest Hotel,
2015,Best Picture - Drama,Boyhood,
