,title,genres
0,How to Be Single,Comedy
0,How to Be Single,Drama
0,How to Be Single,Romance
1,A Single Man,Drama
1,A Single Man,Romance
2,The Lost City of Z,Adventure
2,The Lost City of Z,Biography
2,The Lost City of Z,Drama
2,The Lost City of Z,History
3,The Gods Must Be Crazy,Adventure
3,The Gods Must Be Crazy,Comedy
4,Solace,Crime
4,Solace,Drama
4,Solace,Mystery
4,Solace,Thriller
5,Pain and Glory,Drama
6,I Still Know What You Did Last Summer,Horror
6,I Still Know What You Did Last Summer,Mystery
7,Push,Action
7,Push,Sci-Fi
7,Push,Thriller
8,The Emoji Movie,Animation
8,The Emoji Movie,Adventure
8,The Emoji Movie,Comedy
8,The Emoji Movie,Family
8,The Emoji Movie,Fantasy
8,The Emoji Movie,Sci-Fi
9,The Art of Getting By,Drama
9,The Art of Getting By,Romance
10,The Forbidden Kingdom,Action
10,The Forbidden Kingdom,Adventure
10,The Forbidden Kingdom,Fantasy
11,Submarine,Comedy
11,Submarine,Drama
11,Submarine,Romance
12,Aloha,Comedy
12,Aloha,Drama
12,Aloha,Romance
13,Rust and Bone,Drama
13,Rust and Bone,Romance
14,Robin Hood,Action
14,Robin Hood,Adventure
14,Robin Hood,Drama
14,Robin Hood,Thriller
15,Friday the 13th Part III,Horror
15,Friday the 13th Part III,Thriller
16,Inland Empire,Drama
16,Inland Empire,Fantasy
16,Inland Empire,Mystery
16,Inland Empire,Thriller
17,Wild Hogs,Action
17,Wild Hogs,Adventure
17,Wild Hogs,Comedy
18,Sorry to Bother You,Comedy
18,Sorry to Bother You,Drama
18,Sorry to Bother You,Fantasy
18,Sorry to Bother You,Sci-Fi
19,The Mission,Adventure
19,The Mission,Drama
19,The Mission,History
20,The Mountain II,Action
20,The Mountain II,Drama
20,The Mountain II,War
21,Uncle Buck,Comedy
22,The Benchwarmers,Comedy
22,The Benchwarmers,Sport
23,Secondhand Lions,Comedy
23,Secondhand Lions,Drama
23,Secondhand Lions,Family
24,Bridget Jones: The Edge of Reason,Comedy
24,Bridget Jones: The Edge of Reason,Drama
24,Bridget Jones: The Edge of Reason,Romance
25,Extremely Loud & Incredibly Close,Adventure
25,Extremely Loud & Incredibly Close,Drama
25,Extremely Loud & Incredibly Close,Mystery
26,Pet Sematary,Horror
26,Pet Sematary,Mystery
26,Pet Sematary,Thriller
27,Gerald's Game,Drama
27,Gerald's Game,Horror
27,Gerald's Game,Thriller
28,Mandy,Action
28,Mandy,Fantasy
28,Mandy,Horror
29,Jingle All the Way,Adventure
29,Jingle All the Way,Comedy
29,Jingle All the Way,Family
30,Biutiful,Drama
30,Biutiful,Romance
31,Three Days of the Condor,Crime
31,Three Days of the Condor,Mystery
31,Three Days of the Condor,Thriller
32,Jigsaw,Crime
32,Jigsaw,Horror
32,Jigsaw,Mystery
32,Jigsaw,Thriller
33,Fatal Attraction,Drama
33,Fatal Attraction,Thriller
34,Deuce Bigalow: Male Gigolo,Comedy
34,Deuce Bigalow: Male Gigolo,Romance
35,Videodrome,Horror
35,Videodrome,Sci-Fi
35,Videodrome,Thriller
36,Super,Action
36,Super,Comedy
36,Super,Crime
37,The Cat in the Hat,Adventure
37,The Cat in the Hat,Comedy
37,The Cat in the Hat,Family
37,The Cat in the Hat,Fantasy
38,Magic in the Moonlight,Comedy
38,Magic in the Moonlight,Drama
38,Magic in the Moonlight,Romance
39,Instant Family,Comedy
39,Instant Family,Drama
