,title,pcom
0,How to Be Single,New Line Cinema
0,How to Be Single,Metro-Goldwyn-Mayer (MGM)
0,How to Be Single,Flower Films (II)
1,A Single Man,Fade to Black Productions
1,A Single Man,Depth of Field
1,A Single Man,Artina Films
2,The Lost City of Z,Keep Your Head
2,The Lost City of Z,MICA Entertainment
2,The Lost City of Z,MadRiver Pictures
3,The Gods Must Be Crazy,C.A.T. Films
3,The Gods Must Be Crazy,Mimosa Films
4,Solace,Eden Rock Media
4,Solace,FilmNation Entertainment
4,Solace,Flynn Picture Company
5,Pain and Glory,Canal+
5,Pain and Glory,Ciné+
5,Pain and Glory,El Deseo
6,I Still Know What You Did Last Summer,Columbia Pictures
6,I Still Know What You Did Last Summer,Mandalay Entertainment
6,I Still Know What You Did Last Summer,Estudios Churubusco Azteca S.A.
7,Push,Summit Entertainment
7,Push,Icon Productions
7,Push,Infinity Features Entertainment
8,The Emoji Movie,Columbia Pictures
8,The Emoji Movie,LStar Capital
8,The Emoji Movie,Sony Pictures Animation
9,The Art of Getting By,Goldcrest Pictures
9,The Art of Getting By,Mint Pictures
9,The Art of Getting By,Island Bound Productions
10,The Forbidden Kingdom,Casey Silver Productions
10,The Forbidden Kingdom,China Film Co-Production Corporation
10,The Forbidden Kingdom,Huayi Brothers Media
11,Submarine,The Weinstein Company
11,Submarine,Warp Films
11,Submarine,Film4
12,Aloha,Columbia Pictures
12,Aloha,New Regency Productions
12,Aloha,LStar Capital
13,Rust and Bone,Why Not Productions
13,Rust and Bone,Page 114
13,Rust and Bone,France 2 Cinéma
14,Robin Hood,Summit Entertainment
14,Robin Hood,TIK Films
14,Robin Hood,Appian Way
15,Friday the 13th Part III,Paramount Pictures
15,Friday the 13th Part III,Jason Productions
15,Friday the 13th Part III,Frank Mancuso Jr. Productions
16,Inland Empire,StudioCanal
16,Inland Empire,Camerimage Festival
16,Inland Empire,Tumult Foundation
17,Wild Hogs,Touchstone Pictures
17,Wild Hogs,Tollin/Robbins Productions
17,Wild Hogs,Wild Hogs Productions
18,Sorry to Bother You,Cinereach
18,Sorry to Bother You,MACRO
18,Sorry to Bother You,MNM Creative
19,The Mission,Warner Bros.
19,The Mission,Goldcrest Films International
19,The Mission,Kingsmere Productions Ltd.
20,The Mountain II,3leven
20,The Mountain II,CaglarArts Entertainment
20,The Mountain II,Insignia Productions
21,Uncle Buck,Universal Pictures
21,Uncle Buck,Hughes Entertainment
22,The Benchwarmers,Revolution Studios
22,The Benchwarmers,Happy Madison Productions
23,Secondhand Lions,New Line Cinema
23,Secondhand Lions,David Kirschner Productions
23,Secondhand Lions,Digital Domain
24,Bridget Jones: The Edge of Reason,Universal Pictures
24,Bridget Jones: The Edge of Reason,StudioCanal
24,Bridget Jones: The Edge of Reason,Miramax
25,Extremely Loud & Incredibly Close,Warner Bros.
25,Extremely Loud & Incredibly Close,Scott Rudin Productions
25,Extremely Loud & Incredibly Close,Paramount Pictures
26,Pet Sematary,Paramount Pictures
26,Pet Sematary,Di Bonaventura Pictures
26,Pet Sematary,Room 101
27,Gerald's Game,Intrepid Pictures
28,Mandy,SpectreVision
28,Mandy,Umedia
28,Mandy,Legion M
29,Jingle All the Way,1492 Pictures
29,Jingle All the Way,Twentieth Century Fox
30,Biutiful,Menageatroz
30,Biutiful,Mod Producciones
30,Biutiful,Focus Features
31,Three Days of the Condor,Wildwood Enterprises
31,Three Days of the Condor,Dino De Laurentiis Company
32,Jigsaw,Twisted Pictures
32,Jigsaw,Burg Koules Hoffman Productions
32,Jigsaw,Serendipity Productions
33,Fatal Attraction,Paramount Pictures
34,Deuce Bigalow: Male Gigolo,Happy Madison Productions
34,Deuce Bigalow: Male Gigolo,Out of the Blue... Entertainment
34,Deuce Bigalow: Male Gigolo,Touchstone Pictures
35,Videodrome,Filmplan International
35,Videodrome,Guardian Trust Company
35,Videodrome,Canadian Film Development Corporation (CFDC)
36,Super,This Is That Productions
36,Super,Ambush Entertainment
36,Super,Cold Iron Pictures
37,The Cat in the Hat,Universal Pictures
37,The Cat in the Hat,Dreamworks Pictures
37,The Cat in the Hat,Imagine Entertainment
38,Magic in the Moonlight,Gravier Productions
38,Magic in the Moonlight,Dippermouth
38,Magic in the Moonlight,Perdido Productions
39,Instant Family,Closest to the Hole Productions
39,Instant Family,Leverage Entertainment
39,Instant Family,Paramount Pictures
40,The Space Between Us,Los Angeles Media Fund (LAMF)
40,The Space Between Us,STX Entertainment
40,The Space Between Us,Southpaw Entertainment (I)
41,Dogtooth,Boo Productions
41,Dogtooth,Greek Film Center
41,Dogtooth,Horsefly Productions
42,Ladder 49,Touchstone Pictures
42,Ladder 49,Beacon Pictures
42,Ladder 49,Casey Silver Productions
43,Sisters,Little Stranger
44,The House Bunny,Columbia Pictures
44,The House Bunny,Relativity Media
44,The House Bunny,Happy Madison Productions
45,The Guilty,Amet Entertainment
45,The Guilty,Bold Films
45,The Guilty,Capstone Pictures
46,Indecent Proposal,Paramount Pictures
47,Burnt,3 Arts Entertainment
47,Burnt,Double Feature Films
47,Burnt,PeaPie Films
48,The Family,EuropaCorp
48,The Family,Relativity Media
48,The Family,TF1 Films Production
49,Odd Thomas,Fusion Films (II)
49,Odd Thomas,Future Films
49,Odd Thomas,The Sommers Company
50,Rambo: Last Blood,Lionsgate
50,Rambo: Last Blood,Millennium Media
50,Rambo: Last Blood,Campbell Grobman Films
51,Battlefield Earth,Warner Bros.
