web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration_hour,duration_min,duration,imdb_rating,num_vote,num_vote_clean,release_date,release_date_country,date,day,month,year,gross_us_can,gross_opening_weekend,gross_worldwide
1647965740-539,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",28 Weeks Later,28 Weeks Later,https://www.imdb.com/title/tt0463854/?ref_=adv_li_tt,2007,R,1h,40m,100,6.9,271K,271000,"May 17, 2007 (Thailand)",Thailand,17-May-07,17,May,2007,"$28,638,916 ","$9,807,292 ","$65,048,678 "
1647971167-1697,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Inglourious Basterds,Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt,2009,R,2h,33m,153,8.3,1.4M,1400000,"August 20, 2009 (Germany)",Germany,20-Aug-09,20,Aug,2009,"$120,540,719 ","$38,054,676 ","$321,457,747 "
1647972767-2030,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Mr. Holmes,Mr. Holmes,https://www.imdb.com/title/tt3168230/?ref_=adv_li_tt,2015,PG,1h,44m,104,6.8,64K,64000,"June 19, 2015 (United Kingdom)",United Kingdom,19-Jun-15,19,Jun,2015,"$17,737,646 ","$2,434,908 ","$29,355,203 "
1647966847-776,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Chronicles of Riddick,The Chronicles of Riddick,https://www.imdb.com/title/tt0296572/?ref_=adv_li_tt,2004,R,1h,59m,119,6.6,224K,224000,"July 22, 2004 (Thailand)",Thailand,22-Jul-04,22,Jul,2004,"$57,761,012 ","$24,289,165 ","$115,900,534 "
1647972634-2001,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Felon,Felon,https://www.imdb.com/title/tt1117385/?ref_=adv_li_tt,2008,R,1h,44m,104,7.4,78K,78000,"July 18, 2008 (Canada)",Canada,18-Jul-08,18,Jul,2008,null,null,null
1647973798-2253,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Blue Streak,Blue Streak,https://www.imdb.com/title/tt0181316/?ref_=adv_li_tt,1999,PG-13,1h,33m,93,6.3,82K,82000,"September 17, 1999 (United States)",United States,17-Sep-99,17,Sep,1999,"$68,518,533 ","$19,208,806 ","$117,758,500 "
1647966678-741,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Lawrence of Arabia,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt,1962,Approved,3h,38m,218,8.3,286K,286000,"December 11, 1962 (United Kingdom)",United Kingdom,11-Dec-62,11,Dec,1962,"$45,306,425 ","$20,846 ","$45,715,757 "
1647966769-760,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Chef,Chef,https://www.imdb.com/title/tt2883512/?ref_=adv_li_tt,2014,R,1h,54m,114,7.3,211K,211000,"May 30, 2014 (United States)",United States,30-May-14,30,May,2014,"$31,424,003 ","$204,961 ","$48,428,048 "
1647973282-2140,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Elizabeth: The Golden Age,Elizabeth: The Golden Age,https://www.imdb.com/title/tt0414055/?ref_=adv_li_tt,2007,PG-13,1h,54m,114,6.8,71K,71000,"January 3, 2008 (Thailand)",Thailand,03-Jan-08,03,Jan,2008,"$16,383,509 ","$6,153,075 ","$75,782,758 "
1647979230-3441,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Gosford Park,Gosford Park,https://www.imdb.com/title/tt0280707/?ref_=adv_li_tt,2001,R,2h,17m,137,7.2,86K,86000,"January 18, 2002 (United States)",United States,18-Jan-02,18,Jan,2002,"$41,308,615 ","$241,219 ","$87,754,044 "
1647964278-251,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Resident Evil: Retribution,Resident Evil: Retribution,https://www.imdb.com/title/tt1855325/?ref_=adv_li_tt,2012,R,1h,35m,95,5.3,140K,140000,"September 13, 2012 (Thailand)",Thailand,13-Sep-12,13,Sep,2012,"$42,345,531 ","$21,052,227 ","$240,159,255 "
1647974607-2430,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Nikita,Nikita,https://www.imdb.com/title/tt0100263/?ref_=adv_li_tt,1990,R,1h,57m,117,7.3,71K,71000,"February 21, 1990 (France)",France,21-Feb-90,21,Feb,1990,"$5,017,971 ","$44,047 ","$5,017,971 "
1647966013-598,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Change-Up,The Change-Up,https://www.imdb.com/title/tt1488555/?ref_=adv_li_tt,2011,R,1h,52m,112,6.3,179K,179000,"August 5, 2011 (United States)",United States,05-Aug-11,05,Aug,2011,"$37,081,475 ","$13,531,115 ","$75,450,437 "
1647967621-942,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Founder,The Founder,https://www.imdb.com/title/tt4276820/?ref_=adv_li_tt,2016,PG-13,1h,55m,115,7.2,144K,144000,"January 26, 2017 (Thailand)",Thailand,26-Jan-17,26,Jan,2017,"$12,786,053 ","$3,404,102 ","$24,121,245 "
