title,genres_rotten,original_release_date,day,month,year,runtime,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Percy Jackson & the Olympians: The Lightning Thief,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",12-02-10,12,02,2010,119,Rotten,49,149,Spilled,53,254421,43,73,76
Please Give,Comedy,30-04-10,30,04,2010,90,Certified-Fresh,87,142,Upright,64,11574,44,123,19
10,"Comedy, Romance",05-10-79,05,10,1979,122,Fresh,67,24,Spilled,53,14684,2,16,8
12 Angry Men (Twelve Angry Men),"Classics, Drama",13-04-57,13,04,1957,95,Certified-Fresh,100,54,Upright,97,105386,6,54,0
"20,000 Leagues Under The Sea","Action & Adventure, Drama, Kids & Family",01-01-54,01,01,1954,127,Fresh,89,27,Upright,74,68918,5,24,3
"10,000 B.C.","Action & Adventure, Classics, Drama",07-03-08,07,03,2008,109,Rotten,8,149,Spilled,37,411140,37,12,137
The 39 Steps,"Action & Adventure, Classics, Mystery & Suspense",01-08-35,01,08,1935,80,Certified-Fresh,96,51,Upright,86,23890,8,49,2
3:10 to Yuma,"Classics, Drama, Western",07-08-57,07,08,1957,92,Fresh,96,28,Upright,79,9243,6,27,1
Charly (A Heartbeat Away),"Comedy, Drama, Romance",27-09-02,27,09,2002,103,Rotten,20,10,Upright,87,4819,0,2,8
Abraham Lincoln,"Classics, Drama",08-11-30,08,11,1930,97,Fresh,82,11,Spilled,40,457,4,9,2
Dark Water,"Art House & International, Horror, Mystery & Suspense",19-01-02,19,01,2002,100,Fresh,80,15,Upright,66,21475,3,12,3
The Accused,"Drama, Mystery & Suspense",14-10-88,14,10,1988,110,Fresh,91,22,Upright,79,20821,1,20,2
The Lost City,Drama,03-09-05,03,09,2005,143,Rotten,25,83,Upright,64,25944,37,21,62
The Breaking Point,Drama,06-10-50,06,10,1950,97,Fresh,100,10,Upright,86,335,1,10,0
Adam's Rib,"Classics, Comedy, Romance",18-11-49,18,11,1949,101,Fresh,96,28,Upright,86,10563,6,27,1
The Bridge of San Luis Rey,"Art House & International, Drama, Faith & Spirituality",10-06-05,10,06,2005,124,Rotten,4,24,Spilled,35,1935,13,1,23
The Prowler (Cost of Living ),"Drama, Mystery & Suspense",03-12-51,03,12,1951,92,Fresh,100,18,Upright,86,286,6,18,0
Criminal,"Drama, Mystery & Suspense",24-09-04,24,09,2004,87,Fresh,69,124,Spilled,57,6711,35,85,39
